doc_id,topic_id,text
102,8,"TITLE: Social conflicts over the use of water resources in Chile: the role of social movements and business power | KEYWORDS: Business power; collective action; environmental conflicts; Latin America; social movements; water resources | ABSTRACT: This paper explores conflicts in contemporary Chile between local communities and economic elites over water resources usage, developing a frameworkthat seeks to bridge the gap between the literature on social movements and the scholarly work on business politics. It examines two similar cases. The first case deals with the conflict between large avocado producers and the rural community of Petorca, Central Chile, which has meant water deprivation for the aggrieved community. In the second case, the local community of Aysén, in Chilean Patagonia, successfully challenged business interests by halting a mega-hydroelectric project. We found that local communities can prevail when at least three conditions are met. First, the formation of a broad contingent coalition. Second, the elaboration of collective action frames to mobilise new constituencies. Third, the capacity to forge alliances with elite actors, which enhances the movement’s potential to engage in collective action."
103,19,"TITLE: Regulatory continuity of the pension system in democracy: the role of the economic elite Continuidad del sistema de AFP en democracia: el rol del poder de la elite económica | KEYWORDS: AFP; business power; Chile; economic elite; Pension system; social policies | ABSTRACT: Since mid-2016, when the “No more AFP” movement took to the streets to protest against the pension system based on individual capitalisation accounts, the need for a wide-ranging reform of the pension system has remai-ned at the top of the agenda. Nonetheless, Chile’s political system has not been able to address this issue, which has become especially salient and contentious during the COVID-driven crisis. In this context, a research question that ad-dresses the factors explaining the remarkable resilience of the AFP system in post-authoritarian Chile has become highly relevant. This work argues that the more influential current frameworks do not offer the necessary analytical tools to understand this issue comprehensively. As such, this article suggests that the traditional, structural-instrumental analytical framework for the study of business power should be supplemented with analysis of ideational elements of power. The augmented conceptual approach developed in this research is effective in capturing long-term, strategic investments carried out by the economic elite in order to increase their power. Likewise, this novel conceptual approach is useful for understanding why the Concertación party grouping not only abandoned its original programme, but ended up actually promoting fur-ther privatisation of the AFP system."
104,-1,"TITLE: Business Power in post-authoritarian Chile: Explaining regulatory continuity in the pension system, 1990-1994 Poder empresarial en el Chile posautoritario: Explicando la continuidad regulatoria en el sistema de pensiones, 1990-1994 | KEYWORDS: Business power; Chile; Economic elite; Latin America; Pensions | ABSTRACT: It is hardly controversial to contend that economic elites wield a disproportionate political influence in Latin America. In this context, one critical area which we require a better understanding of is the influence of business on the development of social policies. Chile offers a fascinating puzzle in this regard: why did a centre-left coalition, elected on a platform of “creating a social security system with more elements of solidarity” end up passing reforms that consolidated the private, individually managed pension scheme imposed by the military regime (1973-1990)? This paper attempts to shed light on this question, focusing on the debate around the old-age pension system during the first Concertación government, the Aylwin Administration (1990-1994). The analysis is based on process-tracing. Primary sources for the analysis include interviews with key informants, and congressional and press records. In summary, this work shows that despite the new democratic setting, the Chilean economic elite continued to control the policy process by means of multiple mechanisms."
105,14,"TITLE: Socio-environmental implications of the decarbonization of copper and lithium mining and mineral processing | KEYWORDS: Copper; Decarbonization; Impacts; Lithium; Mineral processing; Mining | ABSTRACT: Minerals and metals will play an important role in adapting to climate change and keeping the increase in global average temperature below 2C as they are essential to the transition to low-carbon energy, electromobility and 4.0 technologies. This is a great opportunity, but there are great challenges involved in preventing this climate contribution from being greater than the potential impacts resulting from increased production. This study aims to identify the potential social and environmental impacts of decarbonization actions that can be integrated into the operational processes of copper and lithium mining. In addition, the list of identified impacts was also linked with the indicator framework currently used to assess sustainability in different contexts (social, environmental, and economic). The selection and analysis of the articles are based on the Systematic Analysis of Literature, which is based on the following steps: Identification, Screening, Eligibility, and Inclusion. The actions were broken down into 5 categories: a) Electrification, b) Change of fuel, c) Circular economy, d) Promotion of low-carbon energy generation, and e) Technological changes for energy efficiency. Then they were linked to each of the operating processes of copper and lithium mining (brine and spodumene). Finally, to learn about potential social and environmental impacts of the decarbonization actions in the copper and lithium mining industry, 2 sustainability indicator frameworks were added: The Sustainable Development Goals (SDGs) and the Global Reporting Initiative (GRI). Of a total of 5 categories associated with decarbonization issues in energy-intensive industries, 56 actions were identified as the contribution that these industries can make to climate change. However, only 26 of these actions managed to be linked to copper and lithium mining. The document links the SDG and GRI indicators with the identified environmental and social impacts of decarbonization actions. It has been demonstrated that the mining industry, due to its operational characteristics, has direct socio-environmental impacts on the intervention sites and has been managed with different strategies (e.g., management, technology). This study also provides evidence that decarbonization of this industry as an end-user of low-carbon technologies will have socio-environmental implications in the supply chain of these technologies."
106,14,"TITLE: One step forward, two steps back? Shifting accumulation strategies in the lithium production network in Chile | KEYWORDS: Accumulation strategies; Batteries; Global production networks; Lithium | ABSTRACT: The global race for critical minerals for the energy transition is triggering manifold discourses and initiatives in resource-rich countries regarding how to take advantage of the moment. From conventional accumulation strategies based on the capture of resource rents to more ambitious strategies seeking to move forward in the value chain, resource peripheries are in a decisive conjuncture. While the literature discussing the development and embeddedness of battery production networks in mineral-rich countries is a solid starting point, this article seeks to examine how the contingent position of mineral-rich states in the production network is the outcome of internal and external struggles that define its accumulation strategy. For such purpose, this contribution examines the making and unmaking of accumulation strategies based on lithium extraction in Chile, the country with the world´s largest reserves. The results show that a pendular movement between the strategy of exporting lithium brine at a large scale to appropriate resource rents and the development of value-added products in the country has undermined the development of the lithium value chain in Chile. Conclusions indicate that it is crucial to define a transversal and sustainable strategy that allows the country to take advantage of the energy transition."
107,14,"TITLE: Formalization beyond legalization: ENAMI and the promotion of small-scale mining in Chile | KEYWORDS: Artisanal and small-scale mining; Chile; ENAMI; Formalization; Institutions | ABSTRACT: This article explains how ENAMI, the Chilean National Mining Company (ENAMI), has legalized and formalized artisanal and small-scale mining (ASM). The experience reveals how promoting formalization strategies that provide much broader support for ASM, beyond mining licenses and tenure rights (i.e., legalization), defined as formalization (e.g., geological data, mining equipment, and skills transfer programs), is vital. Information gathered from secondary sources and semi-structured interviews reveals that while legalization of ASM has been largely successful in Chile, there are still challenges in terms of formalization, especially improvement of exploration and production. Furthermore, ENAMI needs to modernize its own installations and development model to afford ASM greater opportunities of becoming a sustainable and competitive business activity."
108,14,"TITLE: Social protest at mining territories: Examining contentious politics at mining districts in Chile | KEYWORDS: Contentious politics; Extractive industries; Mining; Mining territories; Territorial turn | ABSTRACT: The territorial turn in the research agenda about extractive industries and development has remarked the uneven and entangled processes through which industries anchor across space. Whereas the uneven developmental performance of mining areas has been largely discussed, this turn offers fertile ground to interact with the literature about contentious politics and examine how the spatial distinction of mining territories also shapes local unrest and social mobilization. This paper examines social protest dynamics at mining districts by exploring four dimensions of contentious politics and comparing its prevalence between mining and non-mining districts. For such a purpose, the paper distinguishes between mining and non-mining districts through a cluster analysis based on a set of mining-related variables. Afterward, it analyses four relevant dimensions of social protests related to extractive industries (labor, public services, local politics, and environmental) based on a database of protest actions registered between 2009 and 2019 in 18 newspapers. The results show that mining districts are distinguished by social protests related to public services and labor demands, while social protest related to local politics and environmental issues does not exhibit a significant difference between mining and non-mining districts. Thereby, the districts in which mining exerts a larger influence face higher rates of social protest only regarding labor and public services."
109,14,"TITLE: Mobilising Rents: Natural Gas Production Networks and the Landlord State in Peru and Bolivia | KEYWORDS: corruption; extractivism; Global Production Networks; ground rent; landlord state; resource peripheries | ABSTRACT: The ongoing choreography of extractive industries asks for a deeper appraisal about the processes and scales underpinning resource extraction. This paper unpacks how the assembly between natural gas production networks, extractivist states and local politics is anchored in resource peripheries in Peru and Bolivia through contingent schemes of value distribution. From a critical production network approach, the paper examines the transformation of resource peripheries through the transfer of natural gas rents to sub-national governments and, more specifically, through investments in public infrastructure. Such investments embed natural gas production networks to local politics through three processes: providing an image of modernisation and progress; coopting local elites through corruption; and mobilising local labour. In conclusion, the articulation between production networks and extractivist states involves an entangled scheme of rent distribution that flows at very local levels and consolidates multi-scalar arrangements for resource extraction."
110,14,"TITLE: Natural gas revenues, subnational politics, and agrarian change in Peru and Bolivia | KEYWORDS: Agrarian change; Extractive industries; Resource rents; Subnational political economy | ABSTRACT: The literature about natural resources and development has largely described states’ failure to translate large resource endowments into sustainable development. Consequently, terms like resource curse or Dutch disease have become widely accepted. However, the literature examining this process at the subnational level has been less conclusive regarding the local effects, such as economic diversification. It is therefore pertinent to examine the contextual conditions underpinning both the expenditure of resource rents at the subnational level and the effects of such expenditures on economic diversification, particularly on the agrarian sector. To do so, this contribution deploys a comparative analysis between the Tarija department in Bolivia and La Convencion province in Peru. Both are hydrocarbon-rich areas in which subnational governments received massive amounts of resource rents. A deep examination based on qualitative and quantitative data permits the affirmation that whereas similar place-specific conditions boosted a massive investment of resource rents into public infrastructure, the composition of the agrarian sector defined a different trajectory in each case. While the strong peasant organization of Tarija obtained a direct transfer of resource rents, the transfer of those rents to the peasants in La Convencion was only through wages conditioned to work in the construction sector. As such, resource rents undermined the agrarian sector in La Convencion, while in Tarija the sector remained stable and potentially stronger in the long run."
111,8,"TITLE: From crisis to stability and back again: the fragility of environmental governance in the Chilean salmon industry | KEYWORDS: Aquaculture; Chile; crisis; environmental governance; Fishery; Government Policy; institutions; salmon farming; Sustainable Development | ABSTRACT: In the last two decades, the 2008 Infectious Salmon Anemia (ISA) virus and the 2016 algal blooms crises have placed the Chilean salmon industry at risk and tested the capacity of its governance mechanisms to solve environmental and economic contradictions and ensure the industry’s continuity and its sustainability. Although in the 2008 crisis the state redefined mechanisms of property, control and access to natural resources to strengthen the resilience of the salmon industry, the lessons learned by the system and the community between one crisis and the next were not enough to avoid a new crisis. Chile’s existing governance mechanisms are reactive and not proactive and, therefore, their capacity to lead the industry towards long-term sustainable practices is flawed."
112,14,"TITLE: Extractivism beyond territory: Examining the socio-spatial relations of the natural gas industry in peru and bolivia (abstract) Los extractivismos más allá del territorio: Una lectura a las relaciones socioespaciales de la industria del gas natural en perú | KEYWORDS: Extractive industries; Extractivism; Latin America; Territory, socio-spatial relationships | ABSTRACT: The Latin American literature about ´extractivism´ has shown the spatial contradictions of the development models based on the extensive and intensive appropriation of natural resources. The core spatial concept of such a literature has been the territory. From such a concept, the literature addresses the state, to examine the organization of the resource-dependent development model, and the local resistances to show the varieties of communitarian practices and local projects of resource governance. Whereas these concepts have highlighted the territorial dimension of the extractivismo, there are manifold socio-spatial processes that underpin the geographical assemblage of extractivismo that ask for a more dynamic a relational spatial examination. This paper progresses in such a direction by analyzing the socio-spatial dynamics in which hydrocarbon industry stands in Peru. More specifically, by researching the interactions between production networks and their territorial embeddedness, and the production of scalar regimes of natural gas rents within extractives states."
113,14,"TITLE: Conflict, territory and extractivism in Chile. Contributions and limits of recent academic production Conflicto, territorio y extractivismo en Chile. Aportes y límites de la producción académica reciente | KEYWORDS: Chile; Conflicts; Extractivism; Scales; Territory | ABSTRACT: This article analyzes the academic production that addresses the concepts of conflict, territory and extractivism in Chile. The analysis of 32 articles published in indexed journals between 2015 and 2020 accounts for a significant concern for this issue. We characterize this stage in this body of work in relation to its treatment of the different concepts, as well as the methods used, the actors studied, and the scales considered. This academic production appears marked by a routinization, both regarding the conceptual deployment and in the predominance of case studies. In order to maintain the dynamism of this field, we invite to take into consideration the theoretical depth of each concept, diversify the methods and broaden the objects of research."
114,14,"TITLE: Towards a new extractivist cycle?: Revisiting the relationship between communities, conflicts and extractive industries ¿Hacia un nuevo ciclo extractivista? Revisitando la relación entre comunidades, conflictos e industrias extractivas | KEYWORDS:  | ABSTRACT: "
115,14,"TITLE: Contesting uneven development: The political geography of natural gas rents in Peru and Bolivia | KEYWORDS: Resource governance; Resource rents; Revenue distribution; Structured coherence; Sub-national conflicts; Uneven development | ABSTRACT: Political and academic debates about the distribution of resource rents to producing areas have addressed the issue of whether or not the transfers unleash conflicts. While this kind of debate is valid, the present paper argues that such a discussion is missing the point regarding the processes behind said types of conflicts, as well as how such conflicts are framed at the sub-national political geography of the state. By more deeply exploring these dimensions, the argument of this paper is that the production of uneven development within sub-national areas is crucial for understanding the above-mentioned conflicts and how the central state internalises those conflicts, producing new political geographies of rent distribution. As such, different territorial discourses of autonomy emerge along with uneven development, but their capacity to reach institutional autonomy is grounded on the spatial politics of each state. Empirically, this paper analyses how natural gas rents are distributed to sub-national producing areas in Peru and Bolivia, and how the production of uneven development through natural gas rents at sub-national level re-activated previous territorial demands for autonomy, which were internalised by central states in different ways."
116,14,"TITLE: Natural Gas Production Networks: Resource Making and Interfirm Dynamics in Peru and Bolivia | KEYWORDS: extractive industries; global production networks; interfirm dynamics; regional development; resource making | ABSTRACT: Economic geographers have largely shown concern about the interaction between extractive industries and local economies by studying how lead firms create economic linkages with national firms. From a global production networks approach, this work looks to deepen the understanding of interfirm dynamics in extractive industries. This work has a critical position over previous research, however, because such contributions do not consider how resources are socioecologically produced. This article shows that the socioecological relations that make natural gas an exploitable resource are critical to study the articulation between global and local firms. The contingent interaction between states, firms, and the biophysical properties of nature set up the conditions for interfirm dynamics because it creates (or does not create) a steady and continuous demand of services to perform specialized activities. This was the case in Bolivia where the neoliberal reforms of the early 1990 s, the massive involvement of lead firms, and the characteristics of natural gas deposits created conditions to develop industry-specific suppliers. Conversely, Peru has not been able to appraise its natural gas reserves and did not set up conditions for such suppliers. Therefore, the resource-making process is crucial for studying how global production networks and extractive industries are shaping the geography of uneven development."
117,8,"TITLE: Big fish and small fish? salmon firms, institutional change and sectoral conflict in Chile ¿Peces Gordos y Peces pequeños?: Los empresarios salmoneros, cambio institucional y conflicto sectorial en Chile | KEYWORDS: Entrepreneurs; Institutional change; Process tracing; Salmon production | ABSTRACT: There are few studies that address the relationship between the State and entrepreneurs in specific productive sectors, so that the elements that play a role in this relationship are not entirely clear. This paper deals with the relationship between salmon entrepreneurs and the Chilean State during the institutional change in aquaculture. This is done through the process tracing methodology. An analysis is made of the process of forming a coalition between business owners and the state, the relevance of the state's success in generating autonomy in the institutional design process, and the problems of collective action that arose among the salmon business owners. The conclusion is that the salmon farmers who best positioned their preferences were those who led the guild in institutional change, and who participated in the institutional design."
118,8,"TITLE: Global Salmon Networks: Unpacking Ecological Contradictions at the Production Stage | KEYWORDS: ecological contradictions; global production networks; natural resources; salmon production; territorial configuration; value dynamics | ABSTRACT: Firms’ strategies for turning nature into commodities are heavily oriented toward reducing the ecological indeterminacy of the production process by controlling its biophysical properties to ensure that nature commodification leads to a profitable business. However, research on global production networks (GPNs) has not focused on firms’ strategies in controlling the impacts of biophysical properties on the production network’s organization. This article aims to fill this gap by reviewing the literature on GPN and resource geographies on nature’s transformation into commodities to show how, in resource-based industries, ecological contradictions establish the territorial embeddedness and value dynamics of the production network. This article empirically examines the production of Atlantic salmon in Chile and how firms’ strategies for handling the ecological contradictions after an economic crisis (infectious salmon anemia virus crisis) changed the spatial production network’s organization and constrained the value-creation process. The results of this work aid in the understanding of firms’ strategies at the production stage as drivers of the continuities and changes in production networks. Finally, the connection between value dynamics and ecological contradictions opens a set of challenges to this research agenda."
119,6,"TITLE: Exploring intermediate cities in Latin America: mixed mobile methods for mobility assessment in Villarrica, Chile | KEYWORDS: intermediate cities; Latin America; mobile methods; mobility; urban rural linkages | ABSTRACT: Intermediate cities have had a key role in urban dynamics and development in Latin America since the second half of the twentieth century, yet the theoretical and methodological approaches to research about these types of city have not been suited to their complexity. Most research on them reduces to demographic criteria, overlooking the fact that they are characterised by intense socio-spatial interactions with their surrounding rural areas and other nearby urban centres. This is a serious shortcoming in terms of the potential use of such research for urban planning, and the resulting development processes of these cities. The present work proposes that while research based on the physical patterns of the movement of people (including commuting) are relevant, it is necessary to delve deeper into the process of mobility in order to improve the comprehension of intermediate cities in Latin America. First, the article illustrates the weak points of traditional approaches to intermediate cities and from this proposes that the theoretical and methodological contributions of the new mobility paradigm (Sheller and Urry 2006, Environment and Planning A 38 207–26) can contribute considerably to the study of such cities, as well as the phenomena of intermediation inherent to them. The article then introduces a new methodological proposal, based on mixed mobile methods, that contributes to empirical research and understanding of intermediate cities. An empirical application of the methodology is performed in Chile, specifically in the city of Villarrica in the La Araucanía Region. Based on this application, the article provides some important conclusions regarding the research experience and the theoretical and methodological approach necessary to attend to the socio-spatial complexity of intermediate cities in Latin America."
120,6,"TITLE: Intermediate cities and local governments: Scalar gaps in the Region of La Araucanía, Chile Ciudades intermedias y gobiernos locales: Desfases escalares en la región de la araucanía, Chile | KEYWORDS: Intermediate cities; Local government; Urban sustainability | ABSTRACT: Local governments of intermediate cities face significant challenges regarding their interactions with surrounding areas, as well as with other cities. The present article deals with such challenges, based on two conceptual frameworks: intermediation processes, and scale. The methodological focus utilizes a qualitative approach, based on mobile methodologies, complemented by a quantitative commuting assessment. The results show that local governments from the main intermediation nodes in the Region of La Araucanía face problems related with intermediation process, specifically regarding urban sprawl and roadways. Furthermore, local governments underestimate indigenous dynamics within and between cities, which is a key element in the region. The results allow us to conclude that scalar gaps represent a key problem for local governments of intermediate cities, which must be resolved in order to improve planning processes and enhance the local sustainability of such cities."
121,-1,"TITLE: Changing landscapes: Sense of place and intercultural praxis in cities of la Araucanía region, Chile Paisajes en movimiento: Sentidos de lugar y prácticas interculturales en ciudades de la región de la Araucanía, Chile | KEYWORDS: Cities of Araucanía Region; Intercultural studies; Landscape; Non-representational theory | ABSTRACT: Due the efforts of Chilean state to promote Araucanía Region as a touristic place, its landscape has been usually represented with nature and immaculate places. However, such representation involves two constraints to understand the region's cities. First, it does not recognize the daily practices of their inhabitants; and second, it locates hierarchically one landscape perspective over others possible perspectives, like the intercultural or Mapuche perspective, among many. Against this background, this work proposes a non-representational insight to the Araucanía's landscape. Non-representational approach highlights daily socio-spatial practices and the senses of place that underpins the landscape of Araucanía cities. The methodology is based on walking interviews around Temuco, Villarrica and Angol. It allows us to understand how actors live and perceive their cities day a day. We conclude that beyond classic landscape perspectives, Araucanía's cities have complex intercultural interactions and strong urban/rural linkages that must be considered as constitutive elements of landscape."
122,8,"TITLE: “Throwing Money into the Sea”: Capitalism as a World-ecological System. Evidence from the Chilean Salmon Industry Crisis, 2008 | KEYWORDS:  | ABSTRACT: The financial crisis of 2008 triggered an academic and intellectual debate over whether that particular crisis could mean a change to neoliberalism or a movement toward a post-neoliberal moment. Underlining those debates was a return to Marxian analytics and ideas on crisis and political and economic tools for explaining the economic crisis of the time. Around the same time another sort of crisis was unfolding in the marine waters of the Los Lagos Region of southern Chile. The Immuno Salmon Anemia (ISA) virus rapidly spread through currents, affecting the production of Atlantic salmon in the country."
123,-1,"TITLE: Geographical representations: The role of the military in the development of contemporary Chilean geography | KEYWORDS: Chile; Chilean geography; Geographical representations; Geopolitics; Military geography | ABSTRACT: This article points to two geographical representations. Both relate to the activities of the Military Geographical Institute (IGM) in Chile. The first representation, following on from the importance of the cartographic tradition in state-building, and the role of military institutions in this process, is a critical engagement with the representation of Chilean academic geography on the international stage via the IGM. The paper will reflect on the circumstances through which the IGM assumed this role, and questions its legitimacy as a consequence. The second points to the representation of geography as a cartographical exercise. Historically, similar institutions to the IGM in Latin America have played important roles in creating their national spaces, through mapping and other practices that communicate geopolitical representations of the national space. These representations of geography as cartography remain important since maps are used to communicate a 'national truth' to the wider population as well as associated expansionist geopolitical narrative. The representation of the 'Chilean Antarctic' will be used as an example of this activity. Both of these representations - of national space-building, and as the face of Chilean geography in international fora - are based on core elements of geopolitics that have to be engaged with critically since they reveal the continued importance of the military in representing national geographies. This article provides such an engagement, and concludes by arguing that representations of Chilean geography need to be democratised and demilitarised. © 2014 by The American College of Veterinary Surgeons."
124,24,"TITLE: Coping with natural disasters and urban risk: An approach to urban sustainability from socio-environmental fragmentation and urban vulnerability assessment | KEYWORDS: Santiago de Chile; Socio-environmental fragmentation; Urban vulnerability | ABSTRACT: Purpose - Cities have been exposed to a variety of natural disasters such as flooding, extreme temperatures, storms, earthquakes, and other natural shocks, and have had to respond and adapt to such pressures over time. In the context of global climate change, natural disasters have increased across the globe. Apart from climate change, many urban environments in Latin America are experiencing significant transformations in land use patterns, socio-demographic change, changing labor markets, and economic growth, resulting from recent decades of globalization. Such transformations have resulted in the internal fragmentation of cities. In this context, the purpose of the present chapter is to demonstrate the importance in both theoretical and methodological terms, of integrating the concept of socio-environmental fragmentation into urban vulnerability research in order to make progress toward higher degrees of local sustainability in those areas of the city that suffer natural disasters and fragmentation. Methodology/approach - A mixed methods approach is used in order to combine different technical issues from urban and climate change studies. Findings - The findings are related to the importance of an integrated approach, regarding the complexity of urban life, and the relationship between the urban, the social, and the environmental phenomenon. Social implications - This chapter relates to the revisit of the current state of preparedness and to determine whether further adaptations are required. The authors understood that these kinds of mixed approaches are necessary in order to understand the new complexity of urban processes."
125,6,"TITLE: Urban climates and air pollution in Santiago, Chile Climas urbanos y contaminación atmosférica en santiago de chile hugo romero | KEYWORDS: Environment quality; Urban environment; Urban sustainability | ABSTRACT: Current relationships between urban temperatures and particulate matter concentrations at a scale that is representative of the whole city have been analyzed, highlighting a clear division in two zones, the eastern and western part of the city during the days that register the worst air pollution. On a more detailed scale, based on characteristic urban morphology types, land uses and extensions are correlated with vegetation cover and surface temperatures in so-called climatic sub-zones, in the municipalities of Peñalolen, Santiago Centro and Cerrillos, that represent different urban locations, natural cover and socioeconomic variables across the city. The article concludes that there are areas with adverse conditions for the population and configurations that highlight the heterogeneity and diversity of these municipalities. © EURE."
126,0,"TITLE: Quality assurance and the classification of universities: the case of Chile | KEYWORDS: Case studies; Chile; Classification; Classification of universities; Higher education; Quality assurance; Universities | ABSTRACT: Purpose: The purpose of this study is to analyze the relationship between quality assurance, the traditional a priori approach, and a more recently developed empirical classification of universities, as a means of assessing whether the different classification systems fulfill their original purpose. The study analyzes Chilean university classifications because they have been used in setting up higher education public policies. Design/methodology/approach: The existing classifications of Chilean universities were identified in the literature. Researchers determined categories, criteria and/or indicators used, as well as their main purposes as described by the authors of the classifications. All the criteria and indicators identified were directly related to the quality of academic activities and to the results of the university accreditation processes. The institutional accreditation outcomes and variables were studied using univariate and multivariate statistical analysis. Findings: The a priori approach proved to be consistent with the results of institutional quality assurance, despite of the variability in individual performances. The empirical systems, however, do not show any contribution to the improvement of public policies in higher education. The results clearly show that classifications based on performance do not necessarily ensure improvements in institutional quality. Originality/value: To the authors’ knowledge, this analysis is the first study of the relationship between university classification and quality assurance. The growing number of proposals for different empirical classifications in Chilean universities is evidence of institutional diversity only. However, the classification designs did not respond to purposes such as public policies improvements and other expected results from these instruments."
127,0,"TITLE: Chilean universities and institutional quality assurance processes | KEYWORDS: Chile; Institutional accreditation; Quality assurance; Types of universities | ABSTRACT: Purpose - The purpose of this paper is to conduct a quantitative analysis of the university accreditation processes in Chilean universities. The aim is to determine the effects of the different variables, especially the type of institutions (state- and privately owned, with and without state financial support) on the results obtained. Design/methodology/approach - Univariate and multivariate statistical analysis of official data. Findings - Results indicate consistency in the accreditation processes in Chilean universities, as those variables directly associated with the processes accounted for approximately 70 per cent of the variation in the length of accreditation periods (between 0 and seven years), these variables being the ones that defined the type of universities. High dispersion was found in six state-owned universities that behaved as if they were private universities and in two private universities that behaved as if they were state universities. However, a high percentage of the universities included in the analysis maintained their affiliation to their corresponding legal group, when their performance in accreditation processes was analyzed. Originality/value - The results of the university accreditation processes in Chile have been the focus of a intense debate due to the legal and economic conflicts between the different types of universities. This study constitutes the first scientific analysis of the results of these processes, especially in terms of the performance of the different types of universities, thus enabling a better interpretation of the results. This information is useful not only in the terms of the legal reforms that are being carried out in Chile, but they also help the understanding of the processes of accreditation of higher education in other Latin American countries."
128,-1,"TITLE: Bibliometric analysis of south american research in sports science from 1970 to 2012 | KEYWORDS: Bibliometrics; Database bibliographic; Research; Sport sciences | ABSTRACT: Sports science article publication in South American countries (n=11) was studied between 1970-2012, using all citation database of ISI Web of Knowledge. We evaluated: number of published articles; the number of publications divided by the number of people in science and technology (number pub/number peo); the top incidence of research subjects; public or private institution al predominance; impact factor (IF); average citations per document per country; and frequency of published articles per journals per country. Brazil showed the highest number of published articles, followed by Argentina. Bolivia showed the highest number pub/number peo, followed by Peru. Most studied themes were physiology, orthopedic and rehabilitation. Public institutions showed a higher published articles number than did private institutions. Peru and Bolivia were the only countries with a mean IF of 2 or higher. Average citation was higher in Peru (higher coefficient variation). In conclusions, our results show that, in most South American countries, their published articles rate has increased over time. This could be related to new government and institutional policies. However, production was low compared with other areas of science."
129,0,"TITLE: Functional patterns in international organizations for university cooperation in Latin America and the Caribbean | KEYWORDS: Internationalization; interuniversity cooperation; Latin America | ABSTRACT: This study analyzes the coverage, organizational patterns, problems and trends of international organizations for university cooperation in Latin America and the Caribbean. More than 30 international organizations for cooperation currently operating in Latin America and the Caribbean were identified. Two groups of institutions with more than 60% similitude were established by the Bray-Curtis index, according to the countries of origin of member universities. Multivariate discriminant analysis revealed that variables measuring levels of affiliation are more effective in accounting for integration into a given group than those variables associated with coverage or past experience. These organizations show highly redundant and territorial concentration. The most recurrent management problems, evaluated by analyzing the content of documents and interviews, are related to: budgets, information and university culture. In spite of favorable conditions for internationalization, performance observed in international organizations for university cooperation reveal limited impact on higher education and academic development in Latin America and the Caribbean. © 2011 Nuffic."
130,3,"TITLE: Vertical handoff algorithms - A new approach for performance evaluation | KEYWORDS: Criticality analysis; Multicriteria evaluation; Performance evaluation; Vertical handoff; Wireless networks | ABSTRACT: A myriad of Vertical Handoff Algorithms (VHA) have been proposed by researchers and networks practitioners. These algorithms allow mobile terminals (MT) to maintain the network connection when they switch from one wireless network to another one. Given the amount of proposed VHA and the need for an objective assessment of these solutions different evaluation methodologies have been proposed, becoming the problem of evaluation of VHA in an interesting challenge. However, there is no consensus on how to evaluate performance of VHA. In this paper, we address this issue by proposing a new approach for evaluating the VHA, which is based on multi -criteria evaluation and criticality analysis - a specific concept taken from the operational reliability. The new approach allows evaluating VHA using measured values of some defined parameters, which can be obtained from simulating VHA on a network simulation tool (e.g. NCTUns, NS -2, OMNET++, among others) or generic software simulation tools (e.g. MATLAB). As a test of the new model, an evaluation of five VHA is presented. ©2010 IEEE."
131,-1,TITLE: Fifty years of System research and projections for the future | KEYWORDS:  | ABSTRACT: 
132,0,"TITLE: Grant proposal abstracts in science and engineering: A prototypical move-structure pattern and its variations | KEYWORDS: Abstracts; Genre analysis; Grant proposals; Research writing | ABSTRACT: This study builds on existing genre analyses of research grant proposal abstracts by articulating a framework of move definitions that includes the sequencing and cycling of moves as well as their real-world or science orientation, and by exploring the tension between prototypicality and variation in these patterns. Two settings for national research grant competitions aimed at early-career scientists are introduced, namely the New Zealand Marsden award and the Chilean Fondecyt award. A framework of five constituent moves is formulated and 36 collected grant proposal abstracts are analyzed for their move-structure patterns and accompanying lexico-grammatical signals. A prototypical move-structure pattern is formulated and exemplified with abstracts from both settings and different disciplines, while key variations on this prototypical pattern are also described and analyzed. The findings suggest that a majority of abstracts are near-prototypical in structure (i.e., showing a single variation on a shared prototype) and therefore collectively maintain and reinforce this prototypical pattern as a common reference even as they individually diverge from it for their own rhetorical purposes."
133,0,"TITLE: Intercultural Communication Competencies in initial teacher training: The case of three regional universities in Chile Competencias Comunicativas Interculturales en la formación inicial docente: El caso de tres universidades regionales de Chile | KEYWORDS: Cultural diversity; Initial teacher training; Intercultural communication | ABSTRACT: The article aims to describe the cognitive, affective and behavioural competencies possessed by undergraduate students in initial teacher training courses for preschool and primary school (n = 270) to address the sociocultural diversity of their future students, and on this basis, to propose elements of intercultural didactics and pedagogy that these undergraduate students must learn in order to work in culturally diverse school settings. A quantitative approach of descriptive comparative design which makes use of the Cultural Intelligence Scale (CI) with 22 items was employed. The results make it advisable to improve the training curricula of future teachers by integrating the theme of cultural diversity explicitly and transversally in the different teacher training courses, for example, through the design and implementation of programs to develop intercultural communication."
